,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
49,yes,0,27.75,7.0,0.1105849,644.8283,yes,no,0,0,1,13
50,no,0,49.75,3.6,0.000333333,0.0,no,no,2,12,0,0
51,yes,0,24.25,2.0,0.0559685,93.1975,no,no,0,18,1,12
52,yes,0,20.66667,1.7,0.07420824,105.045,no,no,0,6,1,4
53,yes,0,23.75,2.8,0.014875,34.125,no,no,2,48,1,8
54,yes,0,25.75,2.4,0.02071958,41.18917,no,no,0,34,1,2
55,yes,1,32.91667,3.0,0.068022,169.8883,no,no,0,216,0,5
56,yes,0,34.33333,4.8,0.4745082999999999,1898.033,no,no,3,12,1,1
57,yes,0,33.25,3.18,0.3058082,810.3917,no,no,4,18,0,3
58,no,0,44.66667,1.8,0.000666667,0.0,no,no,2,33,0,0
59,yes,0,21.16667,1.5,0.02655333,32.775,no,no,0,20,1,4
60,yes,2,25.08333,3.0,0.0384529999999999,95.79916,no,no,0,8,0,4
61,yes,0,27.16667,2.28,0.01492807,27.78,no,no,3,36,1,5
62,yes,0,26.41667,2.8,0.0921725,215.0692,no,no,1,12,1,16
63,yes,0,22.0,2.7,0.03544926,79.51083,no,no,0,3,1,0
64,no,3,27.33333,4.9,0.000244898,0.0,yes,no,2,16,1,15
65,no,0,26.16667,2.5,0.00048,0.0,no,yes,0,18,0,0
66,yes,0,40.75,6.0,0.06123966,306.0317,no,yes,2,182,1,16
67,yes,0,42.08333,3.9,0.03221615,104.5358,no,no,0,78,1,2
68,no,0,21.66667,3.3569133333333303,0.000235294,0.0,no,no,0,25,1,0
69,yes,0,24.66667,3.3569133333333303,0.2508032,642.4742,no,no,0,4,1,0
70,yes,0,30.75,3.3569133333333303,0.1503596,308.0492,yes,no,2,53,1,16
71,yes,0,27.41667,3.3569133333333303,0.111812,186.3533,no,no,0,9,1,5
72,yes,0,33.0,3.3569133333333303,0.02089871,56.14917,no,no,2,144,0,2
73,yes,0,37.33333,3.3569133333333303,0.05719193,129.3733,no,no,2,13,1,14
74,yes,0,26.58333,3.3569133333333303,0.05078546,93.10667,no,no,0,144,1,10
75,no,1,24.33333,3.3569133333333303,0.000292683,0.0,no,no,1,5,0,4
76,yes,0,24.25,3.3569133333333303,0.09367893,292.6633,no,no,0,18,1,11
77,yes,0,25.25,3.3569133333333303,0.04106146,98.46416,no,no,0,7,1,0
78,yes,0,0.5,3.3569133333333303,0.1017243,258.5492,no,no,1,94,1,5
79,yes,0,32.83333,3.3569133333333303,0.04792941,101.6833,no,no,2,6,1,18
80,no,0,32.75,3.3569133333333303,0.0003,0.0,no,no,2,25,1,0
81,yes,1,54.58333,3.3569133333333303,0.02984697,65.24667,yes,no,1,78,1,19
82,yes,0,19.58333,3.3569133333333303,0.07904787,108.6075,no,no,0,37,1,8
83,yes,0,29.33333,3.3569133333333303,0.02494458,49.55583,no,no,0,30,1,4
84,no,3,40.16667,3.3569133333333303,0.000323459,0.0,no,no,2,15,1,11
85,yes,0,40.75,3.3569133333333303,0.03904502,235.5717,yes,no,2,177,1,13
86,no,0,41.25,3.3569133333333303,0.000273598,0.0,yes,no,3,172,1,9
87,no,0,34.5,3.3569133333333303,0.000363636,0.0,yes,no,2,33,0,18
88,no,0,23.66667,3.3569133333333303,0.000520833,0.0,no,no,1,12,1,0
89,no,1,53.66667,3.3569133333333303,0.000287081,0.0,no,no,1,288,1,2
90,no,2,34.0,3.3569133333333303,0.000482412,0.0,no,no,1,87,1,3
91,no,0,44.91667,3.3569133333333303,0.000427731,0.0,yes,no,5,4,1,0
92,yes,0,43.41667,3.3569133333333303,0.03435875,68.38417,no,no,0,12,1,0
93,no,4,35.16667,3.3569133333333303,0.0008,0.0,no,no,1,7,1,9
94,no,2,35.83333,3.3569133333333303,0.000142857,0.0,no,no,2,69,1,12
95,yes,0,21.66667,3.3569133333333303,0.000769231,0.0,no,no,0,12,1,2
96,yes,1,32.66667,3.3569133333333303,0.09483,474.15,yes,no,0,48,1,6
97,yes,1,25.41667,3.3569133333333303,0.07804389,234.0483,no,no,2,12,1,4
98,yes,0,26.25,3.3569133333333303,0.1082892,451.205,yes,no,0,5,1,16
99,yes,0,46.0,3.3569133333333303,0.05487727,251.5208,yes,no,2,161,1,7
100,yes,1,35.0,3.3569133333333303,0.1101058999999999,917.54,yes,no,0,72,1,29
101,no,0,35.0,3.3569133333333303,0.000263736,0.0,yes,no,3,36,1,15
102,no,0,20.91667,3.3569133333333303,0.000413793,0.0,no,no,0,36,1,3
103,yes,0,25.16667,3.3569133333333303,0.09848222,147.7233,no,no,0,1,0,9
104,yes,0,31.25,3.3569133333333303,0.04768381,166.7267,yes,no,0,53,1,0
105,yes,0,23.16667,3.92,0.2269911,741.5042,no,no,0,16,1,0
106,yes,0,23.0,3.625,0.03514566,106.1692,no,no,1,51,0,6
107,yes,0,24.83333,2.48,0.1313552,271.4675,no,no,0,18,1,0
108,yes,0,40.91667,9.9999,0.07620686,635.0508,yes,no,3,120,1,17
109,yes,0,43.66667,10.0393,0.02186308,182.825,yes,no,1,12,1,18
110,yes,0,23.08333,2.95,0.03642203,89.37083,yes,no,0,12,1,17
111,yes,0,41.91667,5.0,0.24272,1011.333,no,no,1,36,1,5
112,yes,0,28.16667,2.4,0.1137675,227.3683,no,no,0,1,1,29
113,yes,0,45.58333,13.5,0.01031111,115.4167,yes,no,2,126,1,9
114,no,3,25.91667,4.0,0.0003,0.0,no,no,0,36,0,5
115,yes,1,37.33333,3.9,0.0916836,297.9717,no,no,0,51,1,4
116,yes,1,37.66667,2.0,0.0608075,101.2625,yes,no,3,42,1,3
117,yes,0,30.25,2.15,0.03192233,56.69416999999999,no,no,0,12,1,4
118,yes,0,21.25,3.0,0.030976,77.35667,no,no,2,18,0,2
119,yes,0,40.08333,4.3,0.03419023,122.515,no,no,0,108,1,4
120,no,4,23.41667,9.9999,0.000120001,0.0,no,no,2,27,1,5
121,yes,0,21.83333,2.5,0.0067932,13.4025,no,no,0,32,1,3
122,yes,0,22.16667,3.0,0.05111367,127.5342,no,no,0,120,1,11
123,yes,0,40.83333,2.6,0.004230769,8.333333,yes,no,0,52,1,3
124,yes,1,18.66667,1.66,0.0568759,78.42834,yes,no,0,51,1,2
125,yes,0,34.33333,4.5,0.0032,11.16667,yes,yes,4,30,1,6
126,yes,0,25.08333,5.0,0.0316508,131.8783,no,no,0,38,1,16
127,yes,0,20.08333,1.74,0.1919466,277.9892,no,no,0,8,1,11
128,yes,0,24.75,1.875,0.08070774,126.0225,no,no,1,14,0,1
129,yes,0,41.91667,3.0,0.095609,238.8558,yes,no,3,120,0,0
130,no,5,31.08333,4.2,0.000285714,0.0,no,no,3,52,0,19
131,no,0,53.33333,4.9,0.000244898,0.0,yes,yes,0,108,0,1
132,yes,0,24.25,2.13,0.02122066,37.08333,no,no,1,13,1,4
133,no,1,25.41667,1.7,0.000705882,0.0,no,no,2,8,0,11
134,yes,0,21.83333,1.68,0.1119048,156.5833,no,no,0,18,0,2
135,no,0,20.58333,2.64,0.000454546,0.0,no,no,3,7,1,1
136,yes,0,18.41667,1.968,0.006455285,9.753333,no,no,0,114,0,2
137,yes,0,22.0,3.3,0.03947758,108.3967,no,no,0,6,1,8
138,yes,0,21.41667,1.5896,0.2052491,271.5533,no,no,0,180,1,16
139,yes,0,42.0,3.6,0.01785056,53.30167,no,yes,0,41,0,14
140,yes,0,36.41667,3.0,0.1130587,282.5633,no,no,2,16,1,6
141,yes,0,41.5,3.8,0.08315605,263.3275,no,no,0,67,1,4
142,yes,0,26.5,3.36,0.002625298,6.5175,no,no,0,12,1,4
143,no,2,33.16667,2.3204,0.000517152,0.0,no,no,0,62,0,3
144,yes,0,43.08333,7.8,0.006685513,43.03917,yes,no,0,60,0,2
145,yes,0,30.33333,2.5,0.0356228,73.7975,yes,yes,3,30,1,9
146,yes,0,25.08333,1.5,0.0128,15.416670000000002,no,no,1,12,1,7
147,yes,0,35.66667,3.5822,0.1049978,313.3525,yes,no,1,84,1,10
148,yes,1,44.5,4.0,0.01795825,59.19416999999999,yes,no,0,36,1,13
149,yes,3,43.25,6.72,0.03142812,175.9975,yes,no,3,30,1,27
150,yes,2,50.0,4.3,0.03620279,129.3933,yes,yes,1,264,1,15
151,yes,0,31.75,3.5,0.01055514,30.36917,yes,no,1,36,1,5
152,no,1,43.25,3.95,0.000303798,0.0,yes,no,2,27,1,4
153,no,5,27.16667,4.0,0.0003,0.0,yes,no,0,37,1,7
154,yes,0,24.91667,2.4,0.23063,461.26,no,no,1,164,0,1
155,yes,0,49.66667,2.7,0.08877037,199.7333,yes,no,0,120,0,3
156,yes,0,28.33333,6.6,0.007129848,38.71416,no,no,2,55,1,7
157,yes,0,26.5,2.7,0.04111704,92.26334,no,no,0,18,1,0
158,yes,0,29.41667,4.1,0.04264756,145.3792,no,no,0,13,1,0
159,yes,0,71.83334,7.701,0.06251058,400.9117,yes,no,1,24,1,9
160,yes,0,24.5,2.8,0.05955571,138.7133,no,no,0,5,1,0
161,yes,0,25.08333,3.12,0.04245641,110.3033,no,no,2,3,1,6
162,yes,0,24.91667,2.3,0.02855478,54.64666999999999,no,no,0,30,1,2
163,yes,0,30.08333,3.67,0.001798365,4.5833330000000005,yes,no,0,57,1,3
164,no,0,32.58333,6.5,0.000184615,0.0,yes,no,0,50,1,6
165,yes,0,23.08333,2.56,0.1502422,320.5167,no,no,1,11,1,2
166,yes,0,48.91667,3.5,0.067888,197.9233,yes,no,0,48,1,9
167,yes,0,25.33333,3.24,0.02563117,68.87083,no,no,0,30,1,19
168,yes,0,25.33333,3.48,0.05121034,148.26,yes,no,0,14,1,5
169,yes,0,24.91667,2.938,0.02812798,68.53333,no,no,0,14,1,0
170,no,1,29.16667,2.475,0.000484848,0.0,no,no,1,12,0,5
171,no,5,28.58333,3.12,0.000384615,0.0,no,no,0,13,0,7
172,no,0,32.33333,2.5,0.00048,0.0,no,no,1,60,1,0
173,yes,0,26.5,3.0,0.04865566,121.5558,yes,no,0,12,1,4
174,yes,0,34.33333,6.0,0.017262,86.22667,yes,no,1,48,1,5
175,yes,0,28.41667,2.6,0.04854384,105.095,yes,no,0,27,1,6
176,yes,0,23.58333,3.9,0.01830487,58.99083,no,no,1,14,1,7
177,no,1,30.83333,2.5,0.00048,0.0,no,no,0,18,1,6
178,no,1,34.66667,3.3,0.000363636,0.0,no,no,3,48,0,3
179,yes,0,31.5,5.905,0.0251939,123.8917,no,no,1,12,1,2
180,yes,1,36.16667,7.8,0.01210897,78.54166,yes,no,1,24,1,18
181,no,3,32.41667,2.06,0.000582524,0.0,no,no,0,48,1,8
182,yes,0,31.25,5.6965,0.008123409,38.0625,yes,yes,2,84,0,26
183,yes,0,28.08333,2.16,0.02572685,46.14167,no,no,2,7,1,0
184,no,3,41.58333,4.6,0.00026087,0.0,no,no,0,57,1,3
185,yes,0,21.75,3.5,0.090862,265.0142,no,no,2,42,1,9
186,yes,0,30.25,2.55,0.03532235,74.72667,yes,no,1,11,1,0
187,yes,0,43.5,1.7472,0.07401385,107.7642,yes,no,0,18,0,2
188,yes,0,29.58333,1.95,0.004564103,6.5,yes,no,2,96,1,2
189,yes,0,33.75,5.0,0.0501734,209.0558,yes,no,3,10,1,10
190,yes,0,24.16667,2.8896,0.08017754,193.0675,no,no,0,12,0,0
191,yes,0,25.41667,2.7,0.06417074,144.3842,yes,no,1,17,1,8
192,yes,0,24.25,4.0,0.1076916999999999,358.9725,no,no,0,7,1,10
193,yes,0,24.08333,2.3,0.0309899999999999,59.1475,no,no,0,12,1,0
194,yes,0,32.0,2.4,0.0005,0.0,no,no,1,11,1,8
195,no,0,46.16667,2.6,0.000461539,0.0,no,no,0,61,1,8
196,yes,0,21.91667,2.4,0.2326392,465.195,yes,no,1,168,1,4
197,yes,0,36.25,2.52,0.06781389,142.2425,no,no,2,53,0,3
198,yes,0,23.83333,1.56,0.3860019,501.8025,no,no,0,33,0,1
199,yes,0,49.41667,2.4,0.04437958,88.5925,no,yes,0,14,1,6
200,yes,0,26.08333,2.0,0.1700255,282.8758,no,no,0,2,1,2
201,yes,1,29.16667,2.58,0.1680208999999999,361.1617,no,no,0,6,1,12
202,yes,0,33.0,3.15,0.05726571,150.1767,no,yes,0,128,0,3
203,yes,0,29.33333,2.3,0.04004043,76.24416,no,no,2,24,0,5
204,yes,0,47.58333,4.65,0.01516022,58.245830000000005,no,no,2,25,1,11
205,yes,0,21.58333,3.12,0.03396795,88.23333000000001,no,no,0,56,1,3
206,yes,0,30.41667,2.0,0.0048,7.0833330000000005,yes,no,3,45,1,14
207,no,6,62.91667,2.55,0.000470588,0.0,no,no,2,20,0,13
208,yes,1,21.58333,2.46,0.1409972,289.0442,no,no,1,4,1,11
209,yes,0,30.66667,3.8,0.03251895,102.9767,no,no,0,26,0,1
210,yes,0,47.75,2.6372,0.006635826,13.916670000000002,yes,no,0,4,1,12
211,yes,1,39.75,7.0,0.1099579999999999,641.4216,yes,no,2,30,0,22
212,no,0,53.16667,2.8,0.000428571,0.0,no,no,1,156,0,11
213,no,0,22.83333,3.1475,0.000381255,0.0,no,no,2,19,0,0
214,no,1,24.91667,6.0,0.0002,0.0,no,no,2,17,1,2
215,yes,0,25.16667,3.25,0.0312399999999999,84.275,no,no,0,6,1,17
216,yes,0,61.08333,4.32,0.03697246,132.8508,yes,no,1,252,0,0
217,yes,0,29.16667,2.5,0.0767256,159.595,no,no,0,7,1,21
218,yes,0,35.33333,3.0,0.054018,135.045,no,no,1,6,1,8
219,yes,0,26.08333,3.5,0.08595,250.5208,no,no,0,52,1,2
220,yes,0,42.75,4.56,0.04965899,188.6208,no,no,0,144,1,11
221,yes,0,27.58333,2.76,0.01036232,23.25,no,no,0,30,1,1
222,yes,0,22.5,2.535,0.1013325,214.065,yes,no,2,23,1,9
223,no,7,40.91667,3.2388,0.000370508,0.0,no,no,0,50,1,16
224,no,2,35.16667,3.84,0.0003125,0.0,no,no,0,38,0,2
225,yes,0,32.83333,1.32,0.03875531,42.63083,no,no,1,6,1,2
226,no,0,25.83333,3.9,0.000307692,0.0,no,no,0,18,1,3
227,no,0,56.91667,2.04,0.000588235,0.0,yes,no,0,35,1,11
228,yes,1,30.16667,7.2904,0.07818501,474.5,yes,no,4,43,1,14
229,yes,0,25.08333,7.5,0.04870107,304.3817,yes,no,0,300,1,8
230,yes,0,34.58333,3.2604,0.02910716,78.75083000000001,no,no,1,31,1,6
231,yes,0,24.66667,1.632,0.1754246,238.3275,no,no,1,4,1,5
232,yes,0,40.75,8.0,0.04667138,311.1425,yes,no,2,38,1,0
233,yes,0,31.33333,2.2,0.04216182,77.04666999999999,yes,no,2,17,1,16
234,yes,0,27.83333,5.0,0.0289767999999999,120.4033,yes,no,1,24,1,0
235,yes,0,30.83333,3.0,0.062629,156.5725,yes,no,2,72,1,8
236,yes,0,46.25,2.0,0.00685,10.58333,yes,no,0,76,1,1
237,yes,0,20.5,1.54,0.08959676,114.8158,no,no,0,6,1,2
238,no,0,28.0,1.5,0.0008,0.0,no,no,1,5,0,0
239,yes,0,51.66667,3.0,0.07210633,179.7658,yes,no,0,121,1,0
240,yes,1,41.83333,5.0,0.1501082,625.3675,yes,no,3,84,1,7
241,yes,0,51.75,4.7232,0.02165545,84.9025,yes,no,1,60,0,0
242,yes,0,53.5,1.5,0.0008,0.0,yes,no,0,57,0,6
243,yes,0,26.08333,2.3,0.03560869,67.66666,no,no,0,24,1,0
244,yes,0,20.5,1.6,0.08383188,111.6925,no,no,0,3,1,0
245,yes,0,27.75,2.2,0.1403463999999999,257.3017,no,no,0,3,0,1
246,yes,0,23.25,4.32,0.1877141,675.7708,no,no,2,36,1,11
247,no,0,23.08333,2.6,0.000461539,0.0,no,yes,0,37,1,7
248,yes,0,20.33333,1.6752,0.1757384,245.3308,no,no,0,10,1,0
249,yes,0,83.5,2.8725,0.005848564,13.333329999999998,yes,yes,0,38,0,11
250,yes,0,24.5,2.6,0.06905923,149.545,no,yes,0,21,1,2
251,yes,0,33.75,2.9,0.104841,253.3658,yes,no,2,14,1,20
252,yes,0,25.08333,2.65,0.009650944,20.47917,no,no,0,12,1,9
253,yes,0,26.91667,1.9,0.02667368,41.81667,no,no,0,18,1,9
254,yes,0,65.91666,2.95,0.04856136,118.7133,yes,no,1,230,1,19
255,yes,0,21.58333,3.12,0.08677917,225.4592,no,no,1,10,0,6
256,yes,0,35.0,4.1125,0.02962699,101.2008,yes,no,1,37,1,23
257,no,1,46.0,6.0,0.0002,0.0,yes,no,2,84,1,46
258,yes,0,25.33333,2.0,0.006652,10.42,no,no,0,24,1,19
259,no,2,35.91667,3.38,0.00035503,0.0,yes,no,2,18,1,15
260,yes,0,33.66667,3.5,0.002742857,7.166667,no,no,0,12,1,0
261,yes,0,30.08333,2.6,0.005961538,12.08333,yes,no,4,51,1,16
262,no,11,26.41667,3.5,0.000342857,0.0,no,no,0,14,0,27
263,yes,1,24.58333,2.8,0.06297679,146.8625,no,no,0,14,1,11
264,yes,0,37.75,5.9,0.06604102,324.6183,yes,no,3,28,1,11
265,yes,0,46.25,5.4,0.05977204,268.7242,yes,no,4,204,1,7
266,yes,0,29.5,2.8,0.1067854,249.1658,no,no,0,50,1,3
267,yes,0,43.83333,3.9,0.01558974,50.08333,yes,no,3,179,1,6
268,yes,0,46.91667,3.4,0.03101882,87.63667,no,no,0,42,1,4
269,yes,0,21.83333,2.08,0.1174231,203.3667,no,no,0,5,1,0
270,yes,0,57.66667,2.5,0.05074,105.125,yes,no,0,24,1,13
271,yes,1,23.66667,1.95,0.03098154,50.17833,no,no,0,3,1,4
272,yes,0,25.66667,2.1,0.18692,327.11,no,no,0,15,1,6
273,no,0,30.66667,3.0,0.0004,0.0,yes,no,1,28,1,6
274,yes,1,34.83333,3.2,0.06567625,175.1367,yes,no,2,25,1,8
275,no,4,37.5,2.6,0.000461539,0.0,no,no,0,40,1,14
276,yes,0,40.33333,3.067,0.1596997,408.0825,no,no,2,18,0,0
277,yes,0,24.41667,2.8,0.0146375,33.57083,no,no,0,60,1,11
278,yes,0,31.25,4.8,0.1011433,404.49,yes,no,0,30,1,13
279,no,0,41.16667,4.74,0.000253165,0.0,yes,no,0,13,1,0
280,yes,0,29.83333,2.8,0.03458607,80.45084,yes,no,0,80,1,14
281,yes,0,35.91667,4.2,0.002619048,8.333333,yes,no,4,59,1,13
282,yes,0,42.91667,4.0,0.07213325,240.2775,no,no,2,180,1,9
283,no,4,25.83333,1.65,0.000727273,0.0,no,no,0,36,1,5
284,yes,0,34.16667,4.3,0.0249386,88.94667,no,no,1,12,1,2
285,yes,0,63.5,6.4532,0.000185954,0.0,yes,no,0,42,1,13
286,yes,1,21.91667,3.0,0.004701667,11.00417,no,no,1,18,0,7
287,yes,0,21.25,1.75,0.1932389,281.8067,no,no,0,6,0,3
288,no,0,22.33333,1.8,0.000666667,0.0,no,no,0,3,0,6
289,yes,0,22.91667,2.15,0.009956279,17.171670000000002,no,no,0,12,1,1
290,no,0,23.83333,7.88,0.000152284,0.0,no,yes,4,6,1,9
291,no,2,26.83333,2.6,0.000461539,0.0,no,no,0,12,1,9
292,yes,0,35.83333,2.42,0.05948347,119.625,yes,no,0,56,1,10
293,yes,0,41.08333,2.8,0.03716286,86.54666999999999,yes,no,0,48,0,6
294,yes,0,40.75,3.64,0.03113791,94.11833,no,no,1,41,1,1
295,yes,1,53.58333,9.9999,0.0998702,832.2433,yes,no,3,120,1,3
296,no,0,20.75,1.95,0.000615385,0.0,no,no,0,14,0,1
297,yes,2,34.83333,6.5,0.1407467999999999,762.3784,yes,no,0,12,1,13
298,yes,0,32.16667,3.805,0.008436268,26.0,yes,no,0,51,1,7
299,yes,0,40.75,2.15,0.1270335,227.6017,no,no,1,67,0,16
300,yes,2,38.58333,4.0,0.1139598,379.8658,no,no,0,120,1,8
301,yes,0,22.41667,3.1,0.2400212999999999,620.055,no,no,0,3,1,0
302,no,0,31.0,4.0104,0.000299222,0.0,no,no,0,42,1,0
303,yes,0,29.08333,4.58,0.01286856,48.615,no,no,0,50,1,7
304,yes,0,33.75,1.8,0.1306339,195.4508,yes,no,3,12,1,2
305,no,4,38.0,1.7095,0.00070196,0.0,no,no,2,42,1,2
306,yes,0,21.91667,2.2593,0.06498916,122.1917,yes,no,0,6,1,0
307,yes,0,26.41667,3.5,0.1319654,384.8992,no,no,2,12,1,0
308,yes,0,40.33333,9.9999,0.01560016,129.3333,yes,no,4,72,1,21
309,yes,0,23.75,1.5678,0.000765404,0.0,yes,no,1,6,1,0
310,yes,0,37.58333,2.9623,0.002227999,4.5833330000000005,yes,yes,1,93,1,13
311,yes,1,27.75,2.7,0.09362111,210.6475,no,no,0,9,1,13
312,yes,0,21.66667,2.16,0.1106287,198.5483,yes,no,0,18,1,7
313,yes,0,26.16667,4.0,0.0012,3.166667,no,no,2,18,0,0
314,no,5,31.75,4.5,0.000266667,0.0,yes,no,0,36,1,11
315,no,0,33.75,1.8,0.000666667,0.0,yes,no,2,11,1,13
316,yes,0,27.33333,2.75,0.06718982,153.7267,no,no,0,6,1,3
317,yes,0,39.75,2.42,0.01701942,34.15583,yes,no,1,49,1,25
318,no,0,23.25,2.25,0.000533333,0.0,no,no,3,12,1,0
319,no,0,23.91667,1.2,0.001,0.0,no,no,0,15,0,0
320,no,2,28.16667,2.6,0.000461539,0.0,yes,no,2,31,1,3
321,no,0,26.33333,1.5,0.0008,0.0,no,no,0,8,1,0
322,yes,0,25.33333,2.1,0.1966747999999999,344.1808,yes,no,1,22,1,19
323,yes,0,0.1666667,3.24,0.1843663999999999,497.7058,yes,no,3,25,1,16
324,no,0,36.58333,2.22,0.000540541,0.0,yes,no,2,4,1,0
325,no,2,34.83333,4.9,0.000244898,0.0,no,no,2,408,1,3
326,yes,0,41.58333,2.3,0.04575044,87.105,yes,no,0,42,1,12
327,no,2,28.33333,3.3,0.000363636,0.0,no,no,1,36,1,17
328,no,3,44.58333,2.5,0.00048,0.0,yes,no,2,62,1,18
329,yes,0,34.0,2.205,0.04400998,80.86833,yes,no,2,4,1,10
330,yes,1,35.83333,2.4,0.071715,143.3467,yes,no,0,27,1,18
331,yes,0,22.0,2.7,0.04682963,105.2833,no,no,0,15,1,7
332,yes,0,34.0,3.7,0.1893335,583.7783,yes,yes,2,5,1,2
333,no,5,27.66667,2.12,0.000566038,0.0,no,no,0,44,1,10
334,yes,0,34.5,6.2,0.1840382,950.8641,yes,no,0,60,1,11
335,yes,0,40.33333,2.5,0.0509016,105.9617,no,no,1,24,1,2
336,no,1,24.25,2.0,0.0006,0.0,no,no,0,52,0,3
337,no,0,30.16667,2.4,0.0005,0.0,no,yes,2,72,1,11
338,yes,0,45.0,4.03,0.04091464,137.0717,no,no,0,72,1,2
339,no,0,31.66667,3.0,0.0004,0.0,no,no,0,12,0,0
340,yes,0,24.91667,2.9,0.000508621,0.3125,yes,no,0,60,1,8
341,yes,0,27.83333,1.99,0.06038794,100.1433,yes,no,1,12,1,5
342,yes,0,56.91667,1.92,0.2004224,320.6758,yes,yes,1,64,1,9
343,yes,1,34.41667,5.0,0.1640627999999999,683.4283,yes,yes,1,108,1,6
344,no,2,32.58333,2.16,0.000555556,0.0,yes,no,1,38,0,8
345,yes,0,26.58333,2.2,0.07969773,145.6958,no,no,0,30,1,3
346,yes,0,20.41667,2.2375,0.05063821,93.91917,no,no,0,27,1,1
347,no,2,40.0,2.4,0.0005,0.0,no,no,0,72,1,6
348,yes,0,40.16667,1.9,0.1059958,167.8267,yes,no,3,108,1,17
349,yes,0,25.66667,5.5,0.1535069,703.4067,yes,no,1,30,1,13
350,no,0,32.08333,2.16,0.000555556,0.0,no,no,0,42,0,0
351,yes,2,26.0,7.0,0.221529,1292.003,no,yes,0,13,1,31
352,no,3,36.91667,2.6,0.000461539,0.0,yes,no,1,54,1,14
353,no,0,22.66667,2.5,0.00048,0.0,no,no,0,27,1,0
